Library,Station,pressure,depth,temp,sal,OXYGEN,CTDOXY,PHSPHT,SILCAT,NITRAT,NITRIT,TALK,DIC,H2O_2_D_DELTA_BOTTLE,H2O_18_D_DELTA_BOTTLE,Al_D_CONC_BOTTLE,STANDARD_DEV,Ba_D_CONC_BOTTLE,Cd_D_CONC_BOTTLE,Fe_D_CONC_BOTTLE,Fe_D_CONC_BOTTLE_FIA,Fe_D_CONC_BOTTLE_FIA_STANDARD_DEV,Mn_D_CONC_BOTTLE,Mn_D_CONC_BOTTLE_STANDARD_DEV,Mo_D_CONC_BOTTLE,Ni_D_CONC_BOTTLE,Pb_D_CONC_BOTTLE,U_D_CONC_BOTTLE,Zn_D_CONC_BOTTLE,Y_D_CONC_BOTTLE,La_D_CONC_BOTTLE,Pa_231_D_CONC_BOTTLE,Pa_231_D_CONC_BOTTLE_STANDARD_DEV,Th_230_D_CONC_BOTTLE,Th_230_D_CONC_BOTTLE_STANDARD_DEV,Th_232_D_CONC_BOTTLE,Th_232_D_CONC_BOTTLE_STANDARD_DEV,Th_234_D_CONC_BOTTLE,Th_234_D_CONC_BOTTLE_STANDARD_DEV
S0063,18,285,283.1,12.7608367347,35.4712870653,-1,151.2020408163,1.1419591837,8.2556428571,18.4097346939,0.023622449,1579.3320408163,1443.2037755102,-0.03,-0.46,1.968295,-0.460975,23.5517,-0.2924,0.025,-0.012195,-0.49512,-0.412195,-0.499025,64.0305,1.805,7.375,5.86925,-0.195,56.87,8.855,-1,-1,-1,-1,-1,-1,18.82685,-0.07073
S0064,3,40,39.6810344828,15.3389224138,34.9123363966,-1,232.2448275862,0.3822413793,1.0167241379,3.6869827586,0.0540517241,-1,-1,2.1343103448,0.2862931034,3.2367535345,0.0545855172,47.8825568966,0.021875,0.1332758621,0.0891464655,0.00976,1.6121100862,0.0182511207,130.899317069,3.5426724138,14.8392241379,12.3438025862,0.3267241379,106.3146551724,12.85,-1,-1,-1,-1,-1,-1,31.9883887931,0.6486982759
S0065,3,62,61.5123966942,14.4164958678,35.3987019174,-1,216.7280991736,0.5484710744,1.9807438017,6.5197933884,0.0412396694,1824.1805785124,1644.4962809917,0.83,-0.295,1.80244,-0.4561,22.7595,-0.4735,-0.38,-0.42195,-1,-0.22195,-0.49366,64.29,1.295,6.225,5.601,-0.29,53.115,6.445,-1,-1,-1,-1,-1,-1,20.55855,-0.109755
S0066,3,85,84.2231404959,8.0963553719,35.0211116467,-1,262.1997933884,0.8508057851,4.1891735537,12.4779338843,0.1285123967,1155.55,1073.1,1.5,0.26,2.0105928099,-0.2763258058,46.2205,-0.2128826446,-0.106446281,-0.066503657,-0.2994515909,0.0004724587,-0.3059012397,127.302,2.2323347107,14.473677686,12.1161,-0.0993595041,84.1639225413,12.1722933884,-1,-1,-1,-1,-1,-1,47.0244,0.94634
S0067,3,109,108.0413223141,13.3246198347,35.3163218079,-1,226.527892562,0.6242768595,2.2149793388,7.8656404959,0.0285330579,2332.1,2108.5,-0.31,-0.01,4.37073,0.06829,52.1385,0.1257,0.33,0.28293,0.00976,0.42927,0.0039,129.58,3.87,13.06,12.2878,0.39,104.7,12.87,0.66663,0.08946,2.29268,0.06507,0.29358,0.00601,40.3902,0.74146
S0068,3,135,133.826446281,11.8913966942,35.061154907,-1,224.4328512397,0.8230371901,3.1120867769,11.2553099174,0.023161157,2332.1,2108.5,-0.31,-0.01,4.37073,0.06829,52.1385,0.1257,0.33,0.28293,0.00976,0.42927,0.0039,129.58,3.87,13.06,12.2878,0.39,104.7,12.87,0.66663,0.08946,2.29268,0.06507,0.29358,0.00601,40.3902,0.74146
S0069,3,185,183.3022312373,8.7661460446,34.9123827079,-1,244.8028397566,1.0131845842,5.1586206897,14.8012170385,0.0404462475,-1,-1,1.72,0.16,4.0876463692,0.0492153144,48.5649,0.1963681542,0.2936308316,0.2314771602,0.0070985801,0.3869174848,0.0039435091,127.953,4.1125760649,19.1190466531,12.3532,0.5835699797,125.3747227586,18.8697971602,-1,-1,-1,-1,-1,-1,40.6341,0.8
S0070,3,235,232.8350305499,7.3088401222,34.7035027047,-1,253.383503055,1.1884114053,6.3013136456,17.6562830957,0.0275152749,1554.0644602851,1447.2183299389,-0.38,-0.54,1.45122,-0.48049,26.5034,-0.34135,-0.255,-0.30488,-0.490245,-0.334145,-0.499025,63.293,1.98,6.365,5.68295,0.065,55.245,6.29,0.134145,-0.439025,0.69512,-0.45527,-0.370465,-0.498705,20.37805,-0.139025
S0071,3,289,286.3273453094,6.4836087824,34.5411408513,-1,250.524750499,1.368742515,7.6429341317,20.3872854291,0.0254690619,1144.6846307385,1071.8067864272,-0.73,-0.55,1.2453963772,-0.486243014,27.62245,-0.3279366267,-0.2818762475,-0.286281507,-0.495253992,-0.3554110279,-0.4978245409,62.7495,1.8531536926,8.4951996008,5.49855,-0.1208183633,58.9977558583,7.5991916168,-1,-1,-1,-1,-1,-1,20.9439,-0.090245
S0072,20,40,50,19.676625,36.667250125,-1,217.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0073,20,75,74.333566108,19.4386846444,36.6450063496,-1,217.5345013634,1.1757142857,13.2285714286,18.2142857143,0.0071428571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0074,20,100,99.0513268156,19.2096694371,36.6204500462,-1,218.1271934856,1.1757142857,13.2285714286,18.2142857143,0.0071428571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0075,20,135,133.6561918063,18.8890481469,36.5860712214,-1,218.9569624568,1.1757142857,13.2285714286,18.2142857143,0.0071428571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0076,20,185,183.0917132216,18.4310177324,36.5369586146,-1,220.1423467013,1.1757142857,13.2285714286,18.2142857143,0.0071428571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0077,20,235,232.5272346369,17.9729873179,36.4878460077,-1,221.3277309457,1.1757142857,13.2285714286,18.2142857143,0.0071428571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0078,20,320,316.5676210428,17.1943356133,36.4043545761,-1,223.3428841613,1.1757142857,13.2285714286,18.2142857143,0.0071428571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0079,20,375,370.9466945996,16.6905021573,36.3503307086,-1,224.6468068303,1.1757142857,13.2285714286,18.2142857143,0.0071428571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0080,20,500,494.5354981378,15.5454261211,36.2275491915,-1,227.6102674415,1.1757142857,13.2285714286,18.2142857143,0.0071428571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0081,20,1060,1048.2133379888,10.4154854786,35.6774879951,-1,240.8865709796,1.1757142857,13.2285714286,18.2142857143,0.0071428571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0082,10,40,39.7359307359,22.3037943723,35.7607041039,-1,229.0268398268,0.0082034632,0.3522727273,0,0.01,1170.55,1015.95,3.8037012987,-0.071991342,2.7446854978,-0.1611319697,31.1163385281,-0.1770363636,-0.1178571429,-0.1016036797,-0.49512,0.5991896104,-0.1654226623,120.8185042424,1.8706709957,17.2968614719,10.2017177489,-0.0701948052,74.8488095238,8.9964935065,-1,-1,-1,-1,-1,-1,30.2318467532,0.457870303
S0083,10,75,74.5019920319,18.0816653386,35.8722768406,-1,236.7247011952,0.0455776892,0.5237450199,0.0657370518,0.0037848606,2359.7725099602,2074.5059760956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
S0084,10,90,89.2072072072,10.8637252252,35.249001,-1,230.845045045,0.5456756757,3.1423423423,7.6599099099,0.2643243243,2328.4,2127.3,-1,-1,2.6439,0.04878,-1,0.0842,0.12,0.10146,0.00293,0.80976,0.00683,-1,3.21,19.43,-1,0.11,147.10001,26.05,-1,-1,-1,-1,-1,-1,-1,-1
S0085,10,110,109.1741176471,16.8947717647,35.8140305882,-1,230.4181176471,0.1046823529,0.8579529412,0.6056470588,0.0310352941,-1,-1,3.85,0.1,3.5438083059,0.0570248471,39.798,0.0097287059,0.2034588235,0.1643316235,0.01268,0.7019347765,0.0114066588,146.07201,2.8248470588,18.7747294118,12.6039,0.1155294118,96.0945882353,11.4004235294,-1,-1,-1,-1,-1,-1,41.9805,0.81951
S0086,10,185,183.3333333333,9.462,35.0979996667,-1,195.1,0.9933333333,7.6666666667,15.4,0.0533333333,1545.5,1434.7666666667,-1,-1,4.661,-0.417075,-1,-0.37745,-0.185,-0.210245,-0.49756,-0.260975,-0.498535,-1,1.405,10.68,-1,-0.11,72.65,13.44,-1,-1,-1,-1,-1,-1,-1,-1
S0087,10,235,232.9672489083,10.5325262009,35.1798093592,106.1,183.1700873362,0.9627074236,7.6583733624,14.5592358079,0.0299781659,1170.35,1051.95,1.56,-0.435,6.8052267576,-0.1345281004,20.42925,0.0284173581,0.4125545852,0.4006655895,0.03415,0.1774768559,-0.1595593341,72.343,2.9777292576,18.3005786026,5.7873,0.4323799127,113.5031550218,21.1168122271,-1,-1,-1,-1,-1,-1,19.15365,-0.041465
S0089,10,420,416.087408949,6.4208626431,34.8900465338,-1,199.3261706556,1.2537044745,10.9452653486,19.076508845,0.0281113424,1148.75,1070.5,-0.68,-0.66,7.6794001821,0.0089528304,21.999,0.2030709157,0.7445005203,0.7315917066,0.01561,0.2447242144,-0.0602097138,71.692,3.7264828304,25.2259521332,5.8327,1.0526118626,133.5382414152,25.0623673257,-1,-1,-1,-1,-1,-1,19.6073,-0.0561
S0090,16,40,39.7402597403,24.5579350649,36.490634961,-1,203.2363636364,0.0558441558,0.4283116883,0.0402597403,0.0380519481,-1,-1,7.36,0.89,14.9857402597,0.1054146753,42.2137,0.0027051948,0.0818181818,0.061161039,0.0411911688,1.2192593506,0.023375974,136.229,2.29,18.8381818182,12.9522,0.065974026,116.488961039,15.0405194805,-1,-1,-1,-1,-1,-1,35.9833103896,1.1296792208
S0091,16,60,59.6,22.0814636364,36.6133630273,-1,208.4654545455,0.0434545455,0.4648181818,0.1218181818,0.0543636364,-1,-1,7.58,0.87,14.8557118182,0.1722361818,42.1424,0.0024045455,0.1142727273,0.2559827273,0.01268,1.0808863636,0.015479,137.47,2.2634545455,19.2225454545,13.4517,0.0373636364,122.1138242727,13.5396363636,-1,-1,-1,-1,-1,-1,32.9366081818,1.6009749091
S0092,16,90,89.4,20.5221166667,36.483611925,-1,190.3633333333,0.03,0.6,0.5,0.13,-1,-1,-1,-1,15.4146,0.19512,-1,0.004,0.06,0.06439,0.00195,0.72195,0.00683,-1,2.29,21.89,-1,0.03,135.8,12.57,-1,-1,-1,-1,-1,-1,32.0976,1.7561
S0093,16,115,114.3664122137,20.4254478372,36.1991033257,-1,148.0073791349,0.651653944,2.2644274809,6.9119592875,0.2276081425,1166.85,1089.6,4.4036132316,0.5119592875,5.7629502799,0.0680396438,40.5792531807,-0.0309035623,0.0651399491,0.0575692875,-0.0467660051,0.8853964631,-0.0379984478,128.4247238931,2.5275063613,14.1538422392,12.2693142494,0.0306615776,89.9534605598,14.0092366412,-1,-1,-1,-1,-1,-1,34.1388554707,0.7025136896
S0094,16,135,134.213740458,17.8274834606,35.8950320789,-1,125.7681933842,0.9773536896,3.9209160305,13.4208651399,0.125826972,1166.85,1089.6,2.2382188295,0.0208651399,3.5324515522,-0.24350743,28.7244949109,-0.2663743003,-0.1842239186,-0.0355248601,-0.3037023919,0.253607659,-0.2994004835,93.087059771,1.6979898219,10.1258524173,8.571197201,-0.2390585242,66.6964631043,10.551221374,-1,-1,-1,-1,-1,-1,25.2354712468,0.2593940967
S0095,16,185,183.8,13.355475,35.540726,-1,132.1658333333,1.1823333333,7.0018333333,18.5921666667,0.1334166667,1194.5,1051.5,1.67,0.09,6.3149255,-0.087437,46.0283,0.0652841667,0.3374166667,-0.0131073333,-0.15135525,0.0784948333,-0.1528935,129.336,3.1205,15.5035,12.6449,0.10925,98.4003333333,15.59325,-1,-1,-1,-1,-1,-1,33.0198783333,0.7530496667
S0096,16,235,233.4655532359,12.7548308977,35.4831429624,-1,134.4507306889,1.2312943633,8.0486430063,19.520960334,0.0988935282,1150.9,1102.9,-0.1,-0.48,8.7944663466,-0.2016910856,23.27075,-0.1909221294,-0.024217119,-0.0363148225,-0.3200280376,-0.0416804384,-0.3241841127,64.081495,1.9239039666,12.5339248434,5.7034,-0.1599373695,84.8408176409,11.2714822547,0.32927,-0.443075,1.142295,-0.45122,-0.405025,-0.499585,26.7034215031,0.6257663466
S0097,16,265,263.0245398773,15.4956196319,36.0962248037,46.65,175.8401840491,0.6131288344,4.3671779141,10.4220858896,0.0287730061,1183.268404908,1066.0147239264,0.06,-0.515,9.8423119632,-0.3958237423,23.65465,-0.4320668712,-0.3276993865,-0.3622709816,-0.49951,-0.2870406135,-0.495718773,64.401495,0.9607055215,9.5259509202,5.74245,-0.4050613497,67.2525460123,7.8708895706,-1,-1,-1,-1,-1,-1,19.7809877301,0.461543865
S0098,24,38,37.7510373444,26.2035767635,36.6094608465,108.5,205.9410788382,0.02,0.9265560166,0.0755186722,0.02,1203.9,1026.35,-1,-1,33.1979585062,-0.0175870124,-1,-0.2443846473,0.6022821577,0.6657941079,-0.2376244398,2.302659917,-0.2169142739,-1,1.325560166,15.2889626556,-1,-0.2146058091,102.6305809129,12.2098340249,-1,-1,-1,-1,-1,-1,33.4889991701,1.2266980913
S0099,24,72,71.5277777778,24.1589027778,36.8403059167,108.5,210.3097222222,0.02,0.8069444444,0.05,0.0243055556,1204.5027777778,1029.4069444445,-1,-1,19.1203291667,-0.4331975,-1,-0.4999222222,-0.24125,-0.2561120833,-0.4976954167,0.6494577778,-0.4900415278,-1,0.5169444444,9.1986111111,-1,-0.4843055556,64.7456901389,6.5169444444,-1,-1,-1,-1,-1,-1,22.5812972222,0.57317
S0100,24,90,89.3632075472,23.3625400943,36.8424735307,-1,210.5945754717,0.02,0.7316037736,0.0158018868,0.0284198113,1204.6,1029.9,-1,-1,31.7896896226,0.2223545047,-1,-0.1577978774,0.2187735849,0.2271371698,-0.1519128302,1.5270048821,-0.1362500708,-1,1.5564622642,15.8823113208,-1,-0.1395990566,109.1796682311,11.3729716981,-1,-1,-1,-1,-1,-1,38.3113945755,1.7158862736
S0101,24,135,134.0583090379,22.1473527697,36.8643016793,205.8,206.5688046647,0.02,0.7527696793,0.0472303207,0.0294460641,2412.4,2075.2,-1,-1,31.6585,0.19512,-1,0.0005,0.26,0.26732,0.00488,1.22927,0.01073,-1,1.95,20.16,-1,0.04,127.71,13.56,-1,-1,-1,-1,-1,-1,44.6829,1.85366
S0102,24,185,183.7097415507,20.7623300199,36.7966776093,-1,194.8530815109,0.0295129225,0.7951292247,0.7976143141,0.0495129225,1201,1055.2,-1,-1,20.1208154076,-0.1621917097,-1,-0.3165022863,-0.0412425447,-0.0674143738,-0.312528171,0.3243817893,-0.3110065507,-1,1.0589562624,14.5220079523,-1,1.8728230616,88.3296719682,9.1079522863,-1,-1,-1,-1,-1,-1,31.6509889662,1.0415798608
S0103,24,235,233.3441295547,19.6286639676,36.7066897429,-1,186.7898785425,0.0765789474,1.0099190283,2.2234817814,0.032611336,1201,1055.2,-1,-1,21.8393702429,-0.0390934818,-1,-0.1750022267,0.1400202429,0.0989759919,-0.1748380162,0.0661080972,-0.1764367004,-1,1.5972672065,17.2765587045,-1,1.0877327935,108.6684008097,11.7021862348,-1,-1,-1,-1,-1,-1,41.397632996,2.2035636842
S0104,24,286,283.9338842975,18.8489421488,36.6310957025,-1,194.0438016529,0.1133057851,1.1665289256,2.9330578512,0.02,2397.6,2115.5,-1,-1,27.8146,0.11707,-1,0.0105,0.3,0.26244,0.00488,0.32195,0.00976,-1,2.17,21.33,-1,0.08,135.85001,14.59,-1,-1,-1,-1,-1,-1,-1,-1
S0105,14,40,39.6666666667,17.521,36.4633343333,-1,211.7333333333,0.07,0.7,1.3,0.24,2388.9,2100.2,-1,-1,14.6439,0.21463,-1,0.0056,0.05,0.06439,0.00098,0.82927,0.00585,-1,2.16,22.31,-1,0.04,128.64,13.37,-1,-1,-1,-1,-1,-1,32.7805,1.65854
S0106,14,70,69.6153846154,25.907,37.159154,-1,211.3153846154,0.1153846154,0.4846153846,0,0.01,2439.9,2089.8,7.47,0.97,13.0927,0.14634,43.038,0.0013,0.07,0.09756,0.00976,1.6878,0.02244,144.821,2.32,15.91,13.2351,0.02,101.53,16.44,-1,-1,-1,-1,-1,-1,38.7024,0.77073
S0107,14,100,99.4,19.3488,29.4841996,-1,171.22,-0.108,0.234,-0.2,-0.192,2434.9,2093,2.845,-0.04,3.10488,-0.48049,21.2322,-0.4993,-0.29,-0.3,-0.490245,0.158535,-0.485855,73.374495,0.705,7.215,6.14195,-0.49,45,5.81,0.58537,0.09756,2.14634,0.08946,0.06912,0.00176,17.3927,-0.12927
S0108,14,115,114.1725571726,18.9396424116,36.5806497277,-1,210.651975052,0.0856756757,0.6246985447,0.7255717256,0.1633471933,2398.5072765073,2100.1284823285,-1,-1,13.8244,0.21463,-1,0.0053,0.11,0.18537,0.00878,0.77073,0.01463,-1,2.1,23.68,-1,0.06,127.03,13.25,-1,-1,-1,-1,-1,-1,35.2195,1.85366
S0109,14,135,134.130977131,21.1633430353,36.7619387089,-1,205.5792099792,0.1397297297,0.6621205821,0.3097713098,0.0926611227,2411.3970893971,2104.8686070686,-1,-1,13.8244,0.21463,-1,0.0053,0.11,0.18537,0.00878,0.77073,0.01463,-1,2.1,23.68,-1,0.06,127.03,13.25,-1,-1,-1,-1,-1,-1,35.2195,1.85366
S0110,14,185,183.5147679325,17.0892531646,36.4129288439,-1,201.3160337553,0.1912236287,1.4417721519,3.7105485232,0.0945147679,2386.1911392405,2110.8109704641,-1,-1,21.7608172996,0.3079540506,-1,0.0265687764,0.1499156118,0.1249162447,0.0034894937,0.5814519409,0.0048896624,-1,2.2369620253,22.9888185654,-1,0.0271308017,128.113073038,14.778185654,-1,-1,-1,-1,-1,-1,37.6585,1.65854
S0111,14,235,233.5010141988,15.1166085193,35.5318522394,-1,154.7105476673,0.9482758621,4.0937829615,13.3057505071,0.02336714,1159.45,1080.8,1.7126166329,-0.107515213,1.6180539554,-0.2892838641,28.0240121704,-0.2895564909,0.0444117647,0.0254853854,-0.3251198377,-0.1026309229,-0.3257550507,93.6255436105,1.6653752535,11.3244016227,8.206726572,-0.2749087221,63.4140973631,9.3026673428,0.05283,-0.434975,0.84961,-0.45527,-0.45684,-0.498705,28.3420247465,0.2751664604
S0112,14,285,282.9637526652,13.7334968017,35.5740788038,-1,145.18891258,1.0687846482,5.7865458422,16.5153731343,0.0236247335,2336.1780383795,2161.8695095949,-1,-1,24.9854,0.10732,-1,0.037,0.21,0.19122,0.00293,0.56585,0.00293,-1,2.34,24.64,-1,0.1,130.34,15.78,-1,-1,-1,-1,-1,-1,-1,-1
S0114,1,30,29.7603305785,9.4335371901,33.9906037107,-1,289.2016528926,2.1399173554,0.0238016529,13.4545454545,0.0417355372,2277.6,2093.4,-2.11,-0.26,4.28293,0.02927,44.281,0.0697,0.37,0.30244,-1,0.0878,0.00488,118.862,4.83,13.45,11.8537,0.09,114.4,10.66,-1,-1,-1,-1,-1,-1,23.7171,0.56585
S0115,1,58,57.5112107623,9.20117713,34.4170135269,-1,287.9,2.34,0,13.86,0.01,-1,-1,-2.16,-0.26,5.47317,0.05854,52.2449,0.1557,0.43,0.3624289462,0.0094699552,0.0878,0.00098,116.636,4.82,10.06,11.8576,0.18,112.09,10.1,-1,-1,-1,-1,-1,-1,26.5171,0.61463
S0116,1,90,89.1818181818,5.9745454545,34.4114992727,-1,214.25,0.9490909091,4.5654545455,16.7277272727,0.0409090909,1654.8,1552.8681818182,-1,-1,-1,-1,-1,-1,-1,-0.1008133333,-0.3297566667,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.78049,0.11385,2.7642,0.08127,0.93265,0.01036,-1,-1
S0117,1,110,109.0116504854,4.5484048544,34.036746867,-1,298.3494174757,2.2049417476,6.8191067961,23.0630679612,0.0208834951,1137.65,1072.25,-2.5540582524,-0.4400776699,2.3135493204,-0.0286788932,62.6765267961,0.3418746602,0.2101650485,0.1859602233,-0.0785903981,0.0637100097,-0.0866574951,104.4251281553,4.7242815534,10.7559514563,10.7255587379,0.5836990291,107.9780873786,11.919407767,-1,-1,-1,-1,-1,-1,39.108465534,0.7264640971
S0118,1,135,133.7689320388,4.0962203883,34.0607767214,-1,297.1115533981,2.0811553398,9.9210485437,24.5824854369,0.0233106796,1137.65,1072.25,-2.4278446602,-0.6051262136,1.2183551456,-0.2950769515,44.8834685437,-0.0057224272,-0.0641067961,-0.0804402621,-0.3213112718,-0.2168943592,-0.3300846796,78.1974582524,3.1975825243,7.7777961165,7.594126699,0.3191359223,79.5387669903,8.7859126214,-1,-1,-1,-1,-1,-1,28.4039752427,0.2564204078
S0119,1,185,183.3360323887,3.4904757085,34.0689218927,-1,294.9301619433,2.0147975709,13.8683805668,26.316417004,0.0217004049,1138.2769230769,1074.1637651822,-1.64048583,-0.6573076923,0.5172612955,-0.4740491903,32.7058566802,-0.2383121457,-0.2978947368,-0.3012629555,-0.4934621053,-0.4186325101,-0.4991899393,60.0202105263,2.1943927126,5.7214979757,5.3644301619,0.204291498,60.7975708502,6.7963765182,-1,-1,-1,-1,-1,-1,20.6542777328,-0.0675128947
